# suite|fixture|observed-error-or-exception
resvg|tests/painting/fill/hsla-with-percentage-s-and-l-values|0.22291624161931606
resvg|tests/painting/fill/linear-gradient-on-text|0.13296315978900869
resvg|tests/painting/fill/radial-gradient-on-shape|0.47872979745951982
resvg|tests/painting/fill/radial-gradient-on-text|0.18189410873381012
resvg|tests/painting/fill/rgb-color-with-floats|0.20200036131037855
resvg|tests/painting/fill/rgb-color-with-percentage-overflow|0.44686869217811348
resvg|tests/painting/fill/rgba-0-127-0--1|0.40000633581423306
resvg|tests/painting/fill/rgba-0-127-0-2|0.4433588111155643
resvg|tests/painting/fill/uppercase-rgb-color|0.1992275785352734
resvg|tests/painting/image-rendering/on-feImage|0.43521304822244561
resvg|tests/painting/image-rendering/optimizeSpeed-on-SVG|0.24931902432034597
resvg|tests/painting/isolation/as-property|0.15958328709022154
resvg|tests/painting/marker/default-clip|0.61001850399573254
resvg|tests/painting/marker/with-a-large-stroke|0.61542139649597383
resvg|tests/painting/marker/with-an-image-child|0.17738528049151131
resvg|tests/painting/marker/with-invalid-markerUnits|0.61001850399573254
resvg|tests/painting/marker/with-markerUnits=userSpaceOnUse|0.61001850399573254
resvg|tests/painting/mix-blend-mode/color|0.1447854783662493
resvg|tests/painting/mix-blend-mode/color-burn|0.17589670649200995
resvg|tests/painting/mix-blend-mode/color-dodge|0.15958328709022154
resvg|tests/painting/mix-blend-mode/darken|0.17589670649200995
resvg|tests/painting/mix-blend-mode/hue|0.14827970749440353
resvg|tests/painting/mix-blend-mode/multiply|0.17589670649200995
resvg|tests/painting/mix-blend-mode/overlay|0.15958328709022154
resvg|tests/painting/mix-blend-mode/saturation|0.16970163243131892
resvg|tests/painting/mix-blend-mode/soft-light|0.16535375982302045
resvg|tests/painting/opacity/50percent|0.22291624161931606
resvg|tests/painting/opacity/on-the-root-svg|0.22505929948487616
resvg|tests/painting/overflow/scroll-on-marker|0.16472806922518338
resvg|tests/painting/paint-order/markers-stroke|0.14391605170100433
